X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
135	1.338989759	0.920744961	1.875670841	1.137207329	1.715715707	1.377215623	0.003356181	7.120400654	3.516251498	0.400125054	0.771875402	9.270495611	0.142788463	2.461010571	0.132447061	3.966313586	0.145283197	4.797778871	7.602951275	13.00641089	12.49394721	0	4.484126775
136	0	5.993446053	0.020921773	0.829416112	0.274117857	0	0	5.937776734	2.99027599	2.92470153	2.720656883	1.273255852	2.978765727	0	0.063468971	4.493152616	0	1.712641735	1.049290462	0.172268984	0.312839219	0	0.477819668
137	0	38.14378299	36.01148497	73.1349856	10.5423406	48.78274647	4.858488058	15.85282637	30.85560927	1.670114744	33.12641335	6.457581134	50.9140982	198.8649581	113.1077912	34.36471281	14.68725053	82.61284278	76.89362867	60.48579655	273.9315266	0	23.86781315
138	1111.75744	70.09158525	6.518863104	0.014991667	475.3229166	0.050689532	462.3259535	13.98604078	190.4261277	89.7227025	254.0479524	0.014372173	0.014416331	0	1.230978915	126.4956526	4.088643079	49.83077974	0.018596401	0.246567634	0.237949794	0.002857136	4.454265619
139	774.6664679	39.45313474	23.52179345	0.00821485	325.2480142	0.026437077	313.1084161	23.05644762	112.2769255	36.79059686	185.2209641	0.123355553	0	0	0	110.3175942	27.61686437	1.403851215	0	0	0.859584948	0	29.18196504
140	0	0.004876975	2.029735719	0.013388444	0	0	0.023630389	1.815602634	0.497767792	0.284770036	1.532141715	0	0.228427617	0	4.247786505	0.359682679	1.259809792	3.808466051	0.932348618	0.002773693	0.02802945	0	0.005742597
141	164.057442	5.368048765	0	0.082976693	46.84437276	0	49.29368661	8.031059719	27.71295372	8.078523668	39.30878541	0	0	0	0	45.9085483	0	9.230342539	0	0.45161496	0.123642817	0	0.071881208
142	170.6726893	23.89355181	0.507351257	0.009140576	163.8074698	0	169.0045742	19.96115024	142.6830963	19.24130345	85.02710436	0.011816914	4.182523872	0	0	129.1906914	0	22.43509153	0.012748327	0.128024935	0.620421575	0	20.46461231
143	476.0459651	1.695218458	11.51685824	7.082813165	1052.912851	0.026437077	1579.499167	229.369344	41.54261974	168.2623445	276.1442743	0.002289479	0	0	0	19.10652702	0	9.495296293	0	0.004452563	0	0	34.61192862
144	54.06813528	11.00198193	7.329588158	11.34764146	89.38954562	17.10223819	102.5368776	11.30086348	46.15943956	13.45964158	43.4015123	8.318660425	12.97667513	17.22688257	11.96787051	7.009378588	9.010727126	20.56418752	13.73572806	11.56440183	13.53007505	55.33830724	41.75119722
145	40.32665017	106.3544063	35.04442616	51.88421682	264.4790706	470.844276	242.3884722	99.50034389	168.0040345	77.7291702	198.5470511	3.896180984	14.44194055	33.75009319	26.65232393	210.7313375	17.15311231	56.49108763	5.203306393	2.990913959	45.69360567	0	102.0804267
146	34.40301185	1.101085257	1.559226821	0.10611414	24.29262762	0	24.31374411	1.044743322	62.39931612	2.084339248	36.40315041	0.006011865	0	0	0	11.08619857	0	9.51474663	0	0.003576652	0	0	0.020396414
147	0	0.519503424	0.049665103	0.079388907	0	0	0.00431509	1.090373633	0	0.340310268	0.005427865	0.185274732	0	0	0	0.012945783	0	0	0.545668861	0	0.835467932	0	5.124611277
148	57.33150946	32.8240108	23.63086636	1.613415504	30.391023	4.716187327	29.35591848	130.2475972	27.51377774	5.84366729	25.09232084	0.813458875	74.12096067	28.35457887	207.6375263	9.29055162	56.17195987	19.97543468	28.9072462	2.261613102	1.931108842	0	7.880063535
149	645.6989085	109.579648	5.324488624	1.499608397	408.3695622	0.004597763	597.0640696	96.65520074	382.4030687	48.28670726	214.9541064	0	0.054312535	0	3.31795754	248.9233579	0	68.03386032	0	0.243138112	0	0	47.78651352
150	80.55772998	13.51403164	22.00766246	25.46406611	67.14637526	17.77868979	74.48305649	23.53595746	65.00063015	53.31152723	35.25649293	9.615351348	18.27157699	13.21565789	36.51871246	26.41094498	23.8793494	46.42954038	44.0311613	12.61445989	20.28175415	0.042856822	18.37390989
151	1.113948588	93.31117138	26.91692202	30.72508138	3.899410887	2.053744709	2.51837041	3.597531567	8.835793315	1.905088945	19.09770883	3.660046167	18.47480673	26.54361845	47.16044031	38.36245074	1.077192054	15.2968802	49.14826028	33.08694618	59.29482962	0	10.26083276
152	0	0.691802408	1.542859803	0.234924249	2.417725765	0.001494246	1.998526234	2.494311931	1.669818769	0	2.172434301	0.285361611	0.531888551	0	3.385892355	3.370958368	0	1.614547573	1.320925988	0	1.643521	0.015714297	0.689211553
153	18.2747061	7.198343002	2.068905848	1.346214546	32.93677126	0	43.19140013	14.49294275	13.54873999	11.01130016	11.48093373	0.576378072	0.458369649	0.096891958	0.18183561	11.60645787	0.76660891	7.088451654	0.266906458	1.24006033	1.256357564	13.39153898	4.691370711
154	0	0.572091037	0.097846223	0.220413674	0.04014855	0	2.760625841	0	0.459608721	0.269833269	0.176682529	0.175850209	0	0	0	0	0.004339604	2.359533288	4.439761467	0	0.204446237	0	8.09507774
155	0	4.058318276	1.781005879	2.480716734	1.278413723	10.90065536	0	0.632313092	2.880409645	4.663989525	2.833729809	1.310343456	4.93088785	39.49133481	1.474929095	1.376045566	0.009433919	3.155821103	5.060623384	3.501847346	16.81197528	1.23856854	4.261063603
156	0	65.4571739	41.6234375	56.65459623	18.94536785	32.97924485	6.433843614	31.04975364	56.97906055	6.345083084	5.756371869	10.67688964	61.48488428	19.08813628	35.38558997	28.29439116	40.74010627	42.51949536	51.53421719	16.63860495	37.76448297	0	31.05118851
157	1.769042488	2.925759862	6.016569024	3.584472401	0.156184381	0.847349307	1.633350006	1.19282464	3.964181889	2.202966575	0.455837045	2.772477787	2.428468294	0.11986446	0.133059522	6.827458048	9.06304155	4.250189575	3.764799864	8.395500126	8.78681041	13.92561316	1.623809087
158	0	0.786184584	0.316707431	0.196774775	0	0	0	2.449989214	4.889021026	0.737201626	0.922076705	0	0	0.804072417	0	0	0.051698911	7.283673642	3.494147662	4.085462363	4.561712484	0	42.35666295
159	0.083921565	15.12453284	10.24764917	8.169480261	11.54745311	1.190809938	7.667577249	213.8891227	12.70513056	66.42227099	13.79262721	9.402699731	5.415587164	4.338553875	8.328320493	17.06030045	33.65957696	58.2510602	32.14172906	8.027258692	16.2322116	0.401427511	99.14708964
160	0.769805597	18.01784869	9.779121075	15.29781357	6.551079852	10.32912469	1.65323312	15.53959642	13.45689533	1.200015162	23.22534097	6.235911709	13.64261928	11.8275712	5.198074014	1.158088728	0.629622465	4.436003558	22.9844144	10.86351418	9.161425016	0.304280635	2.65377057
161	0.345109941	6.033581659	11.28767714	12.47250847	4.789427346	0.004482809	0	53.77532618	4.834128412	1.86686145	8.724119192	6.685533038	4.415979855	0	12.15280528	1.751015557	15.23982259	9.575807605	7.290003523	12.12838803	12.43124813	0	0.888123563
