Metabolite,pos_in_ppm,couple_code,J_constant,relative_intensity,overwrite_pos,overwrite_truncation,Include_multiplet
B.cells,81,-2,"1,161",1,n,n,1
Macrophages.M1,81,-2,"1,161",1,n,n,1
Macrophages.M2,81,-2,"1,161",1,n,n,1
Monocytes,81,-2,"1,161",1,n,n,1
Neutrophils,81,-2,"1,161",1,n,n,0
NK.cells,81,-2,"1,161",1,n,n,1
T.cells.CD4,81,-2,"1,161",1,n,n,1
T.cells.CD8,81,-2,"1,161",1,n,n,1
Tregs,81,-2,"1,161",1,n,n,1
Dendritic.cells,81,-2,"1,161",1,n,n,1
