	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
A1BG	7.75214718591244	4.47893394604245	4.67019395421717	5.01997286910361	0	3.46366029438621	1.74261012964099
A1BG-AS1	0.27271643899079	28.9876777005104	6.74707928657831	11.7643136639975	0	2.36584771570057	8.92137663752391
A1CF	0.948320441926862	0.0362495423613376	0.497801986619611	0.565376507655068	0.258195678353968	0.136949036341706	0.259364655996366
A2M	0.144347229458355	184.450122700503	2.95311236347738	15.3863928356424	1575.1515858567	418.667200097489	8.94107963811047
A2M-AS1	0	0.345002848952217	7.3419720733882	11.5912876209887	8.60421589012362	0.356690945150833	0.215490435346612
A2ML1	1.71893915761773	0.107495488845609	1.92882739309292	2.12331994582933	3.28921362177483	0.666698266333311	1.96648177385513
A2MP1	0.655107670333112	0	0.987746002773063	0.6915666670692	0	0	3.73252078012924
A4GALT	7.58094993299856	42.7962320163505	0	0.0113998678204486	58.4591570433189	0	0
A4GNT	0	0	2.77663329540362	0.0370160306556731	0	1.34482787271293	0
AA06	0	0	0.153146206929081	0.527020454322539	0	0	0
AAAS	64.3669086182317	0	44.7950374790392	47.30243569652	0	20.6939132511841	70.4034054236266
AACS	3.45486904273555	0	6.41756957948525	13.3737146517545	0	4.79970620189314	28.6054787434337
AACSP1	0.450129708533111	0.0524994317535382	0.54454450096154	0.44388520817552	1.30731276776644	0.109756588863137	0.558085821947868
AADAC	0	159.127423077847	0	0.137898155982249	0	0	0
AADACL2	0.117402323930648	0	0	0.121603351922719	0	0	0
AADACL3	0.0885435056198835	0	0.204782398572221	0.0959090584625474	0	0.0647569343530043	0
AADACL4	0	0	0.134483368656458	0.0245311894238706	0	0	0
AADAT	0.0227408026007471	0.148747870223658	0.402423760457122	0.205114843222099	0	2.79424305841449	0.0922595537666204
AAED1	0	0.268750096139305	0.414926966442908	6.11811014594211	0	0.0204879431380241	5.4110798824334
AAGAB	19.3294462434743	37.4508954824528	38.7136037921261	40.7090637254255	20.4089362180548	14.7180639944933	27.8696518210545
AAK1	3.88912191669037	4.05002769095952	23.0137848164107	17.1653714491225	12.4690190734887	7.13481803353928	24.5000526830384
AAMDC	12.5726739244779	167.395681162143	16.8963628058831	7.66322081254558	122.683877798061	51.128226132317	1.74102053232003
AAMP	93.6081051067471	261.874533208011	81.7615329134305	117.760059987774	102.576131119045	88.2239740311473	160.232498743434
AANAT	0.106613085831117	0	0.626555876992459	0.46782042820813	0	0.462073907346617	0.0341934505682887
AAR2	42.2350211329098	103.006022043471	44.7239403379101	48.5272685944928	26.0746570309056	29.311079957607	80.8977733173698
AARD	7.11880634538399	2.5625131824527	8.56459515429992	7.56636915840806	2.41367386331312	4.2732408769053	6.47460122053925
AARS	47.3448771172092	35.2534419932802	27.7236872634382	43.0794888635211	62.9911529990035	44.7883100104883	18.568607073511
AARS2	16.5848596068712	18.2188562731621	19.673600214342	29.679559136846	8.46006840209956	12.5716570557646	36.9934149271545
