X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
262	0	11.64342644	0	0.413465877	8.252098843	0.020230166	0	8.408382017	7.406936798	1.016220482	2.838419048	0	15.58932414	38.96376627	60.22565094	0.010852581	0.015094157	6.709685233	6.327629851	4.245395336	0	0	0
263	0.028039229	0.026129788	0.023770949	0.036975106	0.03812752	0.027356397	0.104999507	7.963825585	0.095807753	0.031370459	0.691837032	0.027858267	0.035228389	0.027837906	0.036938468	1.554137283	0.022641591	0.081243303	1.740887997	0.027226039	0.075620185	0	0.595039064
264	0	5.875609637	2.608112684	12.06566021	2.018050941	0	0	10.72634965	4.578855528	11.28873743	4.541755888	2.375377831	23.5642373	3.862876679	7.712891445	4.850683401	0.099244729	16.05518919	30.1158263	3.789024081	8.087212179	0.160003624	4.623079255
265	20.7706889	13.05964775	9.238305503	12.41953228	13.29278586	6.896161642	16.67760378	8.95685893	16.45751747	12.48202936	12.73394955	14.49051098	22.98787026	33.19370344	26.70704995	13.20044011	6.393082116	13.77249176	18.60729816	15.45326795	22.63783722	25.7778326	13.71992647
266	36.1557632	28.28942851	14.44650401	15.50138711	48.06081986	26.27170463	6.51104117	18.09385311	22.19319948	53.4535664	15.49471307	10.76304563	64.00492553	9.412989447	0.369795288	22.06827719	18.81173036	22.73220019	28.57223962	15.0622129	14.58119309	23.90491822	19.6707988
267	157.0484615	42.12748518	26.59990544	21.96666615	213.5079089	57.73627075	183.7084258	52.45619186	106.2751696	72.21187214	108.2503889	29.05083134	27.20305643	19.47269029	16.67834894	117.2287857	29.04709936	41.67483449	30.7258394	41.75455557	17.05301457	23.11501236	67.98510081
268	76.68689435	35.3129922	39.70443663	39.4430546	58.50621054	31.40149636	91.7405019	43.68788934	47.58088841	37.90368818	54.06930252	85.71705767	47.95116378	61.50485058	19.52829674	58.9096579	94.26548701	39.7259213	44.75252771	40.17442797	36.84098955	120.4529606	74.69916093
269	0	0.001118565	0.004162037	0	4.766024459	0	0	0	0.148159404	0	0.00385133	1.192853131	0	0	0	0.016046682	0	0	0.029239598	0.063211635	1.957972901	0	0.34246314
270	0	12.71126663	8.426463004	9.080560693	8.336953656	52.62405104	0.004452034	4.534338535	3.357738865	1.301767803	4.220421379	0.254400087	6.150728023	12.33109337	12.77503884	2.874316019	2.16824913	46.25964078	38.17039897	8.645235416	15.37304135	0	25.77459847
271	76.03493643	53.15175278	49.13310119	38.98368371	213.4936193	41.18827676	176.6656658	79.26241155	190.6405105	198.4066987	211.8021904	1257.79666	259.8696492	44.4361523	25.49260716	214.070213	147.6426029	125.0871315	124.724782	746.7939969	333.9236741	188.5131327	21.52029441
272	0	3.566534359	2.614610704	3.135722952	2.921017076	5.332924692	0.004589034	19.89411407	4.836299302	0.416843465	12.95876	0	0.537927593	0	7.97874433	1.174984375	0	69.95147779	55.22079625	7.78452883	20.96348919	0	3.204456026
273	0.973512225	5.547492733	3.233897495	5.778461247	5.606179392	4.066241118	0.138019752	7.446142336	13.64916218	6.43367781	13.84253904	3.070741356	0.56456271	0.697972979	7.307683367	0.81583186	0	8.059945317	2.272355612	6.43591622	20.13212995	0	0.842871332
274	0	39.01841305	16.76246218	52.62533441	7.476648426	35.6494483	14.11284469	104.5116841	21.66756023	10.14581231	14.2797	9.944490229	4.994519025	19.26134781	31.40115732	48.08516811	16.07353986	28.67472744	28.88391394	46.03345323	99.75924018	56.54302974	115.150499
275	0	14.69314165	1.194884136	5.27667671	29.85982452	121.4474483	1.635439087	13.24649872	2.461018239	5.148953881	15.22512813	5.994373913	1.029860072	6.234845999	8.087672181	2.144269735	9.847289206	11.7173907	1.67559761	4.822912244	4.938434688	50.85094666	6.757409046
276	0	0.010782946	0.053964893	0.010793349	0.013371026	0.021608844	0	0.073170488	0.544052204	0.022762267	0.004527002	0.030458068	0	0.005405455	0.002857177	0.007131635	0.354340465	0.038601234	2.816545375	0.002116785	0.004087599	0	0.102080604
277	0.101569035	8.800700847	10.90881599	72.57109954	10.27772234	15.81448251	0.527876894	0.315364103	3.869843421	12.82101922	4.961462035	7.974323654	25.15975264	69.51993213	46.59153523	4.479604605	14.83167841	24.11622168	29.47408493	30.25085663	43.63623565	13.184308	28.62258238
